days_before_departure,price,seats_left,is_weekend,is_holiday,seat_type,booked
9,288,28,0,1,0,0
32,95,5,1,1,1,1
49,96,113,0,0,0,1
3,155,118,0,0,1,0
44,294,164,1,1,1,1
31,122,129,1,0,0,1
9,127,60,1,0,0,1
26,106,140,0,1,0,0
31,338,176,0,0,0,1
26,85,38,1,0,0,1
40,279,160,1,0,2,1
10,338,7,0,0,0,1
14,274,66,0,1,1,0
54,284,21,0,0,2,1
56,284,29,0,1,1,1
8,147,68,1,0,0,1
1,141,117,0,1,2,1
8,321,41,1,1,1,0
44,218,171,1,1,0,0
36,335,146,1,0,1,0
48,229,58,1,0,0,0
49,146,29,0,0,1,1
43,202,62,1,0,2,0
52,200,39,0,1,1,1
9,380,106,0,0,2,0
32,97,122,1,1,1,0
4,308,39,1,1,2,1
48,285,113,1,0,1,1
20,232,173,0,1,0,1
4,298,46,1,1,1,0
58,370,163,0,0,1,0
2,150,49,0,1,2,1
59,246,66,0,1,0,0
15,102,95,0,0,2,1
9,324,38,1,1,0,1
20,302,139,0,1,2,0
49,88,145,0,1,0,0
7,198,59,0,1,2,1
28,221,96,0,0,1,0
8,173,55,1,1,2,0
50,383,57,1,0,2,1
31,387,22,0,1,1,1
2,303,40,1,1,1,1
43,203,64,0,0,2,0
46,170,41,0,1,2,1
49,230,122,0,0,2,0
55,279,108,0,1,0,1
34,347,21,0,0,2,0
27,363,114,0,0,1,1
9,228,115,1,0,2,0
43,378,171,1,1,1,1
9,197,171,1,1,1,0
38,138,52,1,0,0,1
2,383,39,0,1,0,0
36,140,178,1,0,0,1
15,371,2,0,1,1,0
9,246,178,0,0,0,1
17,373,109,0,0,0,0
27,332,14,1,0,2,1
33,337,27,1,1,0,0
51,320,17,0,1,1,0
36,213,126,1,0,0,0
54,298,136,1,1,1,1
18,243,103,0,0,0,0
25,213,34,0,0,2,1
37,201,98,0,0,1,0
52,137,53,1,0,1,1
39,223,12,1,0,2,0
13,134,77,0,0,2,1
24,81,31,0,0,2,1
24,230,97,0,1,0,0
17,349,76,0,0,2,0
1,275,170,1,0,2,1
46,212,124,1,1,2,1
13,144,144,0,1,0,0
12,235,179,0,1,1,1
52,81,156,0,0,0,1
55,316,165,1,0,1,0
20,124,145,0,1,0,1
59,356,104,0,0,2,0
28,302,142,0,0,1,1
40,104,40,0,1,2,1
23,347,20,0,1,2,1
43,165,91,1,1,0,1
36,272,23,1,0,1,0
45,160,67,0,0,0,0
27,234,136,1,0,2,0
38,167,151,1,0,2,0
31,320,34,1,0,2,0
48,380,146,1,0,1,0
2,236,170,1,1,1,1
34,149,176,1,1,0,0
1,190,31,0,1,0,1
14,200,142,0,0,0,1
50,257,64,0,1,2,0
55,203,145,0,1,1,0
31,87,86,0,0,2,0
13,129,49,0,0,2,1
21,114,61,0,1,2,0
23,135,143,1,1,2,1
28,371,60,0,1,1,0
36,105,11,1,0,2,1
3,265,64,1,1,0,1
16,329,140,0,1,0,1
26,393,114,0,1,1,1
7,245,138,1,0,1,0
20,386,130,1,1,0,1
59,108,129,1,1,2,0
11,107,122,1,1,0,1
4,269,4,1,1,1,1
47,200,115,0,1,2,0
34,89,49,0,1,1,1
57,181,180,0,0,2,0
53,325,1,0,0,2,1
45,342,41,1,0,2,0
35,184,54,0,1,1,0
58,212,6,1,0,2,0
44,149,76,1,1,2,1
14,369,124,1,1,0,0
43,209,61,1,0,2,1
53,367,35,1,0,0,0
1,222,107,1,1,1,1
20,162,170,1,1,2,0
45,101,142,1,0,1,1
15,175,76,1,1,0,1
36,394,129,1,1,1,0
53,285,93,0,1,0,1
39,263,101,0,1,0,0
15,238,22,1,1,0,1
23,305,91,1,1,1,0
27,159,33,1,1,2,0
46,393,173,0,0,1,0
6,189,179,0,1,0,1
8,388,29,0,0,2,0
27,344,94,1,1,2,0
9,195,43,0,0,0,1
59,320,5,1,0,2,0
42,143,143,1,1,0,1
14,233,124,1,0,2,0
27,308,15,0,1,1,0
45,182,80,0,0,2,0
3,381,78,0,0,2,1
43,307,134,1,1,1,1
22,311,140,0,0,1,0
6,124,95,0,1,2,1
28,269,101,0,1,1,0
59,198,117,1,1,0,1
15,132,158,0,1,2,1
